# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
356;Rechtsgrundlage gem. Polizeigesetz;Rechtsgrundlage gem. Polizeigesetz;ZIR;V1.4;20210813

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Kategorie
356_1016;§ 31 SächsPVDG;NULL;1;0;NULL;;Sicherstellung;2020-01-01;;;4
356_1017;§ 32 SächsPVDG;NULL;1;0;NULL;;Verwahrung;2020-01-01;;;4
356_1018;§ 33 SächsPVDG;NULL;1;0;NULL;;Verwertung, Unbrauchbarmachung und Vernichtung;2020-01-01;;;4
356_1019;§ 34 SächsPVDG;NULL;1;0;NULL;;Herausgabe sichergestellter Sachen oder des Erlöses, Kosten;2020-01-01;;;4
356_102;§ 36 PolG BW;0;1;0;NULL;;erkennungsdienstliche Maßnahme;;2020-12-31;;
356_1020;§ 35 SächsPVDG;NULL;1;0;NULL;;Zurückbehaltungsbefugnis, Ermächtigung Dritter zum Empfang von Zahlungen;2020-01-01;;;4
356_1021;§ 36 SächsPolG;NULL;1;0;NULL;;Grundregeln der Erhebung von Daten;;2019-12-31;;4
356_1022;§ 36 SächsPVDG;NULL;1;0;NULL;;Tarnpapiere;2020-01-01;;;4
356_1023;§ 37 SächsPolG;NULL;1;0;NULL;;Erhebung von Daten bei öffentlichen Veranstaltungen, Ansammlungen und besonders gefährdeten Objekten;;2019-12-31;;4
356_1024;§ 38 SächsPolG;NULL;1;0;NULL;;längerfristige Observation, Bild- und Tonaufnahmen und -aufzeichnungen, Verdeckte Ermittler und polizeiliche Beobachtung;;2019-12-31;;2
356_1025;§ 40 SächsPolG;NULL;1;0;NULL;;besondere Bestimmungen zur polizeilichen Beobachtung;;2019-12-31;;2
356_1026;§ 41 SächsPolG;NULL;1;0;NULL;;Einsatz technischer Mittel zur Datenerhebung in oder aus Wohnungen;;2019-12-31;;1
356_1027;§ 42 SächsPolG;NULL;1;0;NULL;;Erhebung von Telekommunikationsdaten;;2019-12-31;;2
356_1028;§ 43 SächsPolG;NULL;1;0;NULL;;Speicherung, Veränderung und Nutzung von Daten;;2019-12-31;;4
356_1029;§ 44 SächsPolG;NULL;1;0;NULL;;Datenübermittlung zum Zwecke einer Zuverlässigkeitsüberprüfung;;2019-12-31;;4
356_103;§ 36 Abs. 1 Nr. 1 PolG BW;0;1;0;NULL;;erkennungsdienstliche Maßnahmen (Identitätsfeststellung);;2020-12-31;;
356_1030;§ 45 SächsPolG;NULL;1;0;NULL;;Datenübermittlung an nichtöffentliche Stellen;;2019-12-31;;4
356_1031;§ 46 SächsPolG;NULL;1;0;NULL;;Datenabgleich;;2019-12-31;;4
356_1032;§ 47 SächsPolG;NULL;1;0;NULL;;Rasterfahndung;;2019-12-31;;4
356_1033;§ 50 PolDVG;NULL;1;0;NULL;;Rasterfahndung;2019-12-24;;;
356_1034;§ 55 SächsPVDG;NULL;1;0;NULL;;Grundsätze der Datenerhebung;2020-01-01;;;4
356_1035;§ 56 SächsPVDG;NULL;1;0;NULL;;Befugnis zur Datenerhebung;2020-01-01;;;4
356_1036;§ 57 SächsPVDG;NULL;1;0;NULL;;offener Einsatz technischer Mittel zur Bild- und Tonaufnahme und -aufzeichnung;2020-01-01;;;4
356_1037;§ 58 SächsPVDG;NULL;1;0;NULL;;anlassbezogene automatisierte Kennzeichenerkennung;2020-01-01;;;4
356_1038;§ 59 SächsPVDG;NULL;1;0;NULL;;Einsatz technischer Mittel zur Verhütung schwerer grenzüberschreitender Kriminalität;2020-01-01;;;2
356_1039;§ 60 SächsPVDG;NULL;1;0;NULL;;Ausschreibung zur polizeilichen Beobachtung und gezielten Kontrolle;2020-01-01;;;4
356_104;§ 36 Abs. 1 Nr. 2 PolG BW;0;1;0;NULL;;erkennungsdienstliche Maßnahmen (vorbeugenden Bekämpfung von Straftaten);;2020-12-31;;
356_1040;§ 61 SächsPVDG;NULL;1;0;NULL;;elektronische Aufenthaltsüberwachung;2020-01-01;;;2
356_1041;§ 62 SächsPVDG;NULL;1;0;NULL;;Rasterfahndung;2020-01-01;;;2
356_1042;§ 63 SächsPVDG;NULL;1;0;NULL;;längerfristige Observation und Einsatz besonderer technischer Mittel;2020-01-01;;;2
356_1043;§ 64 SächsPVDG;NULL;1;0;NULL;;Einsatz Verdeckter Ermittler und V-Personen;2020-01-01;;;2
356_1044;§ 65 SächsPVDG;NULL;1;0;NULL;;Einsatz technischer Mittel zur Datenerhebung in oder aus Wohnungen;2020-01-01;;;1
356_1045;§ 66 SächsPVDG;NULL;1;0;NULL;;Überwachung der Telekommunikation;2020-01-01;;;2
356_1046;§ 67 SächsPVDG;NULL;1;0;NULL;;Erhebung von Verkehrs- und Nutzungsdaten;2020-01-01;;;2
356_1047;§ 68 SächsPVDG;NULL;1;0;NULL;;Identifizierung und Lokalisierung von Telekommunikationsendgeräten;2020-01-01;;;2
356_1048;§ 69 SächsPVDG;NULL;1;0;NULL;;Unterbrechung oder Verhinderung der Telekommunikation;2020-01-01;;;2
356_1049;§ 70 SächsPVDG;NULL;1;0;NULL;;Erhebung von Bestandsdaten;2020-01-01;;;4
356_105;§ 40 PolG BW;0;1;0;NULL;;besondere Formen des Datenabgleichs (Rasterfahndung);;2020-12-31;;
356_1050;§ 71 SächsPVDG;NULL;1;0;NULL;;Standortermittlung von gefährdeten Personen;2020-01-01;;;4
356_1051;SächsPVDG;NULL;1;0;NULL;;Sächsisches Polizeivollzugsdienstgesetz;2020-01-01;;;
356_106;§ 42 Abs. 1 PolG BW (gültig bis 31.12.2020);0;1;0;NULL;;Datenübermittlung innerhalb der Polizei;;2020-12-31;;
356_107;§ 42 Abs. 2 PolG BW;0;1;0;NULL;;Datenübermittlung an andere (für die Gefahrenabwehr zuständige) öffentliche Stellen;;2020-12-31;;
356_108;§ 43 PolG BW;0;1;0;NULL;;Datenübermittlung an ausländische öffentliche Stellen / über- und zwischenstaatliche Stellen;;2020-12-31;;
356_109;§ 43a PolG BW;0;1;0;NULL;;Datenübermittlung an Mitgliedsstaaten der Europäischen Union (2006/960/JI);;2020-12-31;;
356_11;§ 43 Abs. 1 BKAG;0;1;0;NULL;;erkennungsdienstliche Behandlung;;;;4
356_110;NDS. SOG;0;1;0;NULL;;Niedersächsisches Gesetz über die öffentliche Sicherheit und Ordnung;;;;
356_111;PAG BY;0;1;0;NULL;;Gesetz über die Aufgaben und Befugnisse der Bayrischen Staatlichen Polizei (Polizeiaufgabengesetz);;;;
356_112;TH - PAG;0;1;0;NULL;;Thüringer Gesetz über die Aufgaben und Befugnisse der Polizei (Polizeiaufgabengesetz);;;;
356_113;BremPolG;0;1;0;NULL;;Bremisches Polizeigesetz;;;;
356_114;§ 11 Nds. SOG;0;1;0;NULL;;allgemeine Befugnisse;;;;
356_115;§ 12 Nds. SOG;0;1;0;NULL;;Befragung und Auskunftspflicht;;;;
356_116;§ 13 Nds. SOG;0;1;0;NULL;;Identitätsfeststellung, Prüfung von Berechtigungsscheinen;;;;
356_117;§ 14 Nds. SOG;0;1;0;NULL;;Kontrollstellen;;;;
356_118;§ 15 Nds. SOG;0;1;0;NULL;;erkennungsdienstliche Maßnahmen;;;;
356_119;§ 15a Nds. SOG;0;1;0;NULL;;molekulargenetische Untersuchen zur Identitätsfeststellung;;;;
356_12;§ 44 Abs. 1 BKAG;0;1;0;NULL;;Vorladung;;;;4
356_120;§ 16 Nds. SOG;0;1;0;NULL;;Vorladung;;;;
356_121;§ 17 Nds. SOG;0;1;0;NULL;;Platzverweisung, Aufenthaltsverbot;;;;
356_122;§ 18 Nds. SOG;0;1;0;NULL;;Gewahrsam;;;;
356_123;§ 19 Nds. SOG;0;1;0;NULL;;richterliche Entscheidung;;;;
356_124;§ 20 Nds. SOG;0;1;0;NULL;;Behandlung fest gehaltener Personen;;;;
356_125;§ 21 Nds. SOG;0;1;0;NULL;;Dauer der Freiheitsbeschränkung oder Freiheits-entziehung;;;;
356_126;§ 22 Nds. SOG;0;1;0;NULL;;Durchsuchung und Untersuchung von Personen;;;;
356_127;§ 23 Nds. SOG;0;1;0;NULL;;Durchsuchung von Sachen;;;;
356_128;§ 24 Nds. SOG;0;1;0;NULL;;Betreten und Durchsuchung von Wohnungen;;;;
356_129;§ 25 Nds. SOG;0;1;0;NULL;;Verfahren bei der Durchsuchung von Wohnungen;;;;
356_13;§ 45 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;'Längerfristige Observation; Einsatz technischer Mittel, Abhören und Aufzeichnen des nicht öffentlich gesprochenen Wortes außerhalb von Wohnungen; VP-Einsatz, VE-Einsatz';;2018-05-24;;2
356_130;§ 26 Nds. SOG;0;1;0;NULL;;Sicherstellung;;;;
356_131;§ 27 Nds. SOG;0;1;0;NULL;;Verwahrung;;;;
356_132;§ 28 Nds. SOG;0;1;0;NULL;;Verwertung, Vernichtung;;;;
356_133;§ 29 Nds. SOG;0;1;0;NULL;;'Herausgabe sichergestellter Sachen oder des Erlöses; Kosten';;;;
356_134;§ 10 Abs. 1 BbgPolG;0;1;0;NULL;;allgemeine Befugnisse nach BbgPolG;;;;
356_135;§ 10 Abs. 2 BbgPolG;0;1;0;NULL;;allgemeine Befugnisse nach anderen Rechtsvorschriften;;;;
356_136;§ 11 Abs. 1 BbgPolG;0;1;0;NULL;;Befragung;;;;
356_137;§ 11 Abs. 3 BbgPolG;0;1;0;NULL;;Befragung, zur vorbeugenden Bekämpfung der grenzüberschreitenden Kriminalität;;;;
356_138;§ 12 Abs. 1 BbgPolG;0;1;0;NULL;;Identitätsfeststellung;;;;
356_139;§ 13 Abs. 2 BbgPolG;0;1;0;NULL;;Erkennungsdienstliche Behandlung;;;;
356_14;§ 46 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;Einsatz technischer Mittel, Abhören und Aufzeichnen des nicht öffentlich gesprochenen Wortes innerhalb von Wohnungen;;2018-05-24;;1
356_140;§ 14 BbgPolG;0;1;0;NULL;;Prüfung von Berechtigungsscheinen;;;;
356_141;§ 15 Abs. 1 BbgPolG;0;1;0;NULL;;Vorladung;;;;
356_142;§ 16 Abs. 1 BbgPolG;0;1;0;NULL;;Platzverweisung;;;;
356_143;§ 16 Abs. 2 BbgPolG;0;1;0;NULL;;Aufenthaltsverbot;;;;
356_144;§ 16a Abs. 1 BbgPolG;0;1;0;NULL;;Wohnungsverweisung und Rückkehrverbot;;;;
356_145;§ 17 Abs. 1 BbgPolG;0;1;0;NULL;;Gewahrsam einer Person;;;;
356_146;§ 21 Abs. 1 BbgPolG;0;1;0;NULL;;Durchsuchung von Personen;;;;
356_147;§ 21 Abs. 2 BbgPolG;0;1;0;NULL;;Durchsuchung von Personen zur Eigensicherung;;;;
356_148;§ 22 Abs. 1 BbgPolG;0;1;0;NULL;;Durchsuchung von Sachen;;;;
356_149;§ 23 Abs. 1 BbgPolG;0;1;0;NULL;;Betreten und Durchsuchen von Wohnungen;;;;
356_15;§ 47 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;Ausschreibung zur polizeilichen Beobachtung oder gezielten Kontrolle;;2018-05-24;;4
356_150;§ 25 BbgPolG;0;1;0;NULL;;Sicherstellung;;;;
356_151;§ 30 Abs. 1 BbgPolG;0;1;0;NULL;;Erhebung personenbezogener Daten;;;;
356_152;§ 31 Abs. 1 BbgPolG;0;1;0;NULL;;Einsatz technischer Mittel bei öffentlichen Veranstaltungen und Ansammlungen, Anfertigung von Bild- und Tonaufnahmen von Teilnehmern;;;;
356_153;§ 31 Abs. 2 BbgPolG;0;1;0;NULL;;offene Beobachtung auf öffentlich zugänglichen Straßen und Plätzen mittels Bildübertragung und Bildaufzeichnung;;;;
356_154;§ 31a Abs. 1 BbgPolG;0;1;0;NULL;;Einsatz technischer Mittel zur Eigensicherung, Anfertigung von Bild- und Tonaufnahmen und -aufzeichnungen;;;;
356_155;§ 32 Abs. 1 BbgPolG;0;1;0;NULL;;längerfristige Observation;;;;
356_156;§ 33 Abs. 1 BbgPolG;0;1;0;NULL;;verdeckter Einsatz technischer Mittel, Abhören und Aufzeichnen des gesprochenen Wortes und zur Anfertigung von Bildaufnahmen und Bildaufzeichnungen;;;;
356_157;§ 33a Abs. 1 BbgPolG;0;1;0;NULL;;verdeckter Einsatz technischer Mittel, Abhören und Aufzeichnen des nicht öffentlich gesprochenen Wortes und zur Anfertigung von Bildaufnahmen und Bildaufzeichnungen innerhalb von Wohnungen;;;;
356_158;§ 33b Abs. 1 Alt. 2 BbgPolG;0;1;0;NULL;;verdeckter Eingriff in informationstechnische Systeme;;;;
356_159;§ 33b Abs. 1 Alt. 1 BbgPolG;0;1;0;NULL;;Telekommunikationsüberwachung;;;;
356_16;§ 48 Abs. 1 BKAG;0;1;0;NULL;;Rasterfahndung;;;;4
356_160;§ 33b Abs. 3 BbgPolG;0;1;0;NULL;;Identifizierung und Lokalisierung von Mobilfunkkarten und -endgeräten;;;;
356_161;§ 33b Abs. 6 BbgPolG;0;1;0;NULL;;Verkehrsdatenerhebung / Nutzungsdatenerhebung;;;;
356_162;§ 33c BbgPolG;0;1;0;NULL;;Datenerhebung durch Bestandsdatenauskunft;;;;
356_163;§ 34 Abs. 1 BbgPolG;0;1;0;NULL;;Einsatz von Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist;;;;
356_164;§ 35 Abs. 1 BbgPolG;0;1;0;NULL;;Einsatz verdeckter Ermittler;;;;
356_165;§ 36 Abs. 1 BbgPolG;0;1;0;NULL;;Ausschreibung zur polizeilichen Beobachtung;;;;
356_166;§ 36 Abs. 1a BbgPolG;0;1;0;NULL;;Ausschreibung zur gezielten Kontrolle;;;;
356_167;§ 36a Abs. 1 BbgPolG;0;1;0;NULL;;anlassbezogene automatische Kennzeichenfahndung;;;;
356_168;§ 40 BbgPolG;0;1;0;NULL;;Datenabgleich;;;;
356_169;§ 46 Abs. 1 BbgPolG;0;1;0;NULL;;Rasterfahndung;;;;
356_17;§ 49 Abs. 1 BKAG;0;1;0;NULL;;verdeckter Eingriff in informationsstechnische Systeme (Online-Durchsuchung);;;;1
356_170;§ 12 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Verfolgung von Straftaten gegen die Sicherheit der Grenze oder die Durchführung von Aufgaben nach § 2 BPOLG;;;;
356_171;§ 12 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;Verfolgung von Straftaten gegen das Pass-, Ausländer- und Asylgesetz;;;;
356_172;§ 12 Abs. 1 Nr. 3 BPolG;0;1;0;NULL;;Strafverfolgung bei Grenzübertritt mittels Täuschung, Drohung, Gewalt oder auf sonst rechtswidrige Weise;;;;
356_173;§ 12 Abs. 1 Nr. 4 BPolG;0;1;0;NULL;;Strafverfolgung bei Verstößen gegen Verbringungsverbote;;;;
356_174;§ 12 Abs. 1 Nr. 5 BPolG;0;1;0;NULL;;Verfolgung von Straftaten auf dem Gebiet der Bahnanlagen, gegen das Vermögen der Bahn oder gegen das ihr anvertraute Vermögen;;;;
356_175;§ 12 Abs. 1 Nr. 6 BPolG;0;1;0;NULL;;Verfolgung von Straftaten auf See außerhalb des deutschen Küstenmeers;;;;
356_176;§ 12 BPolG;0;1;0;NULL;;Verfolgung von Straftaten;;;;
356_177;§ 13 Abs. 1 BPolG;0;1;0;NULL;;Verfolgung und Ahndung von Ordnungswidrigkeiten;;;;
356_178;§ 13 Abs. 3 BPolG;0;1;0;NULL;;Verfolgung und Ahndung von Ordnungswidrigkeiten aufgrund besonderer Gesetze;;;;
356_179;§ 14 BPolG;0;1;0;NULL;;allgemeine Befugnisse;;;;
356_18;§ 50 Abs. 1 BKAG;0;1;0;NULL;;Postbeschlagnahme;;;;4
356_180;§ 19 BPolG;0;1;0;NULL;;Fremdvornahme durch Beauftragte;;;;
356_181;§ 20 BPolG;0;1;0;NULL;;Inanspruchnahme nicht verantwortlicher Personen;;;;
356_182;§ 21 Abs. 1 BPolG;0;1;0;NULL;;Datenerhebung;;;;
356_183;§ 21 Abs. 2 Nr. 1 BPolG;0;1;0;NULL;;Erhebung personenbezogener Daten zur Verhütung von Straftaten;;;;
356_184;§ 21 Abs. 2 Nr. 2 BPolG;0;1;0;NULL;;Datenerhebung bei Kontakt- oder Begleitpersonen;;;;
356_185;§ 21 Abs. 3 Alt. 2 BPolG;0;1;0;NULL;;verdeckte Datenerhebung;;;;
356_186;§ 21 Abs. 3 Alt. 1 BPolG;0;1;0;NULL;;Datenerhebung bei Betroffenen, öffentlichen oder nicht öffentlichen Stellen,;;;;
356_187;§ 22 Abs. 1 BPolG;0;1;0;NULL;;Befragen und Anhalten;;;;
356_188;§ 22 Abs. 1a BPolG;0;1;0;NULL;;Lageabhängige Befragung;;;;
356_189;§ 22a Abs. 1 BPolG;0;1;0;NULL;;Erhebung von Telekommunikationsdaten - Erforschung des Sachverhalts oder Ermittlung des Aufenthaltsortes einer Person;;;;
356_19;§ 51 Abs. 1 BKAG;0;1;0;NULL;;Telekommunikationsüberwachung;;;;2
356_190;§ 22a Abs. 2 BPolG;0;1;0;NULL;;Erhebung von Telekommunikationsdaten - zugewiesene Internetprotokolladresse;;;;
356_191;§ 23 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Identitätsfeststellung zur Abwehr einer Gefahr;;;;
356_192;§ 23 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;Identitätsfeststellung zur polizeilichen Kontrolle des grenzüberschreitenden Verkehrs;;;;
356_193;§ 23 Abs. 1 Nr. 3 BPolG;0;1;0;NULL;;Identitätsfeststellung zur Verhinderung oder Unterbindung unerlaubter Einreise in das Bundesgebiet oder zur Verhütung grenzbezogener Straftaten;;;;
356_194;§ 23 Abs. 1 Nr. 4 BPolG;0;1;0;NULL;;Identitätsfeststellung bei Personen zur Verhütung oder Verhinderung gefährlicher Straftaten an Schutz- und Sicherungsobjekten;;;;
356_195;§ 23 Abs. 1 Nr. 5 BPolG;0;1;0;NULL;;Identitätsfeststellung zum Schutz privater Rechte;;;;
356_196;§ 23 Abs. 3 S. 1 BPolG;0;1;0;NULL;;erforderliche Maßnahmen zur Feststellung der Identität;;;;
356_197;§ 23 Abs. 3 S. 2 BPolG;0;1;0;NULL;;Anhalten, Befragen nach Personalien, Pflicht zur Aushändigung von Ausweispapieren;;;;
356_198;§ 23 Abs. 3 S. 3 BPolG;0;1;0;NULL;;Vorlage von Grenzübertrittspapieren;;;;
356_199;§ 23 Abs. 3 S. 4 BPolG;0;1;0;NULL;;Festhalten und Mitnahme zur Dienststelle;;;;
356_2;§ 20y BKAG (bis 24.05.2018);0;1;0;NULL;;Aufenthaltsvorgabe, Kontaktverbot;;2018-05-24;;4
356_20;§ 52 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;Verkehrsdatenerhebung / Nutzungsdatenerhebung;;2018-05-24;;3
356_200;§ 23 Abs. 3 S. 5 BPolG;0;1;0;NULL;;Durchsuchung des Betroffenen und der von ihm mitgeführten Sachen zur Identitätsfeststellung;;;;
356_201;§ 23 Abs. 4 BPolG;0;1;0;NULL;;Aushändigen von Berechtigungsscheinen;;;;
356_202;§ 23 Abs. 5 BPolG;0;1;0;NULL;;Einlasskontrollen;;;;
356_203;§ 23 BPolG;0;1;0;NULL;;Identitätsfeststellung und Prüfung von Berechtigungsscheinen;;;;
356_204;§ 24 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;ED-Maßnahmen zur Identitätsfeststellung;;;;
356_205;§ 24 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;ED-Maßnahmen zur Verhütung von Straftaten;;;;
356_206;§ 25 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Vorladung zur Aufklärung eines Sachverhaltes;;;;
356_207;§ 25 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;Vorladung zur Durchführung erkennungsdienstlicher Maßnahmen;;;;
356_208;§ 26 Abs. 1 BPolG;0;1;0;NULL;;Datenerhebung bei oder im Zusammenhang mit öffentlichen Veranstaltungen oder Ansammlungen;;;;
356_209;§ 27 BPolG;0;1;0;NULL;;Einsatz selbsttätiger Aufzeichnungsgeräte;;;;
356_21;§ 53 Abs. 1 BKAG;0;1;0;NULL;;'IMSI / IMEI-Catcher; stille SMS';;;;3
356_210;§ 27a Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Nutzung mobiler Bild- und Tonaufzeichnungsgeräte zum Schutz und zur Gefahrenabwehr;;;;
356_211;§ 27a Abs. 1 Nr. 2a BPolG;0;1;0;NULL;;Nutzung mobiler Bild- und Tonaufzeichnungsgeräte zur Verfolgung von Straftaten;;;;
356_212;§ 27a Abs. 1 Nr. 2b BPolG;0;1;0;NULL;;Nutzung mobiler Bild- und Tonaufzeichnungsgeräte zur Verfolgung von Ordnungswidrigkeiten;;;;
356_213;§ 27b Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;anlassbezogene automatische Kennzeichenerfassung als Mittel zur Erhebung zur Abwehr einer Gefahr;;;;
356_214;§ 27b Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;anlassbezogene automatische Kennzeichenerfassung als Mittel zur Erhebung zur Verfolgung von Straftaten gegen die Grenze;;;;
356_215;§ 27b Abs. 1 Nr. 3 BPolG;0;1;0;NULL;;anlassbezogene automatische Kennzeichenerfassung als Mittel zur Erhebung bei Ausschreibung und bevorstehender oder andauernder Begehung von Straftaten;;;;
356_216;§ 27c Abs. 1 BPolG;0;1;0;NULL;;Aufzeichnung von eingehenden Telefonanrufen bei Einsatzleitstellen;;;;
356_217;§ 28 Abs. 2 BPolG;0;1;0;NULL;;Einsatz besonderer Mittel der Datenerhebung (Observation, Technik, VP, VE);;;;
356_218;§ 29 Abs. 1 S. 1 BPolG;0;1;0;NULL;;Speicherung, Veränderung und Nutzung personenbezogener Daten;;;;
356_219;§ 29 Abs. 1 S. 2 BPolG;0;1;0;NULL;;Speicherung, Veränderung und Nutzung personenbezogener Daten zur Erledigung besonderer Ersuchen des Bundesamtes für Verfassungsschutz;;;;
356_22;§ 54 Abs. 1 BKAG;0;1;0;NULL;;Platzverweisung;;;;4
356_220;§ 29 Abs. 3 BPolG;0;1;0;NULL;;Speicherung, Veränderung und Nutzung personenbezogener Daten von Personen, die nicht Tatverdächtige oder Beschuldigte sind;;;;
356_221;§ 30 Abs. 1 BPolG;0;1;0;NULL;;Ausschreiben personenbezogener Daten zur Grenzfahndung;;;;
356_222;§ 30 Abs. 2 Nr. 1 BPolG;0;1;0;NULL;;Ausschreiben zur Ingewahrsamnahme;;;;
356_223;§ 30 Abs. 2 Nr. 2a BPolG;0;1;0;NULL;;Ausschreiben zur Abwehr einer erheblichen Gefahr;;;;
356_224;§ 30 Abs. 2 Nr. 2b BPolG;0;1;0;NULL;;Ausschreibung zur Prüfung der Berechtigung zum Grenzübertritt;;;;
356_225;§ 30 Abs. 2 Nr. 2c BPolG;0;1;0;NULL;;Ausschreiben vermisster Personen;;;;
356_226;§ 30 Abs. 2 Nr. 3 BPolG;0;1;0;NULL;;Ausschreibung zum Zwecke der Zurückweisung oder Ausreiseuntersagung;;;;
356_227;§ 30 Abs. 3 BPolG;0;1;0;NULL;;Ausschreibung auf Veranlassung einer anderen Behörde;;;;
356_228;§ 31 BPolG;0;1;0;NULL;;Ausschreibung zur grenzpolizeilichen Beobachtung;;;;
356_229;§ 31a BPolG;0;1;0;NULL;;Anordnung der Übermittlung von Fluggastdaten;;;;
356_23;§ 55 Abs. 1 BKAG (bis 24.05.2018);0;1;0;NULL;;Aufenthaltsvorgabe, Kontaktverbot;;2018-05-24;;4
356_230;§ 32 Abs. 2 BPolG;0;1;0;NULL;;Übermittlung personenbezogener Daten an öffentliche Stellen;;;;
356_231;§ 32 Abs. 3 BPolG;0;1;0;NULL;;Übermittlung personenbezogener Daten an öffentliche Stellen anderer Staaten und an über- und zwischenstaatliche Stellen;;;;
356_232;§ 32 Abs. 4 BPolG;0;1;0;NULL;;Übermittlung personenbezogener Daten an nicht-öffentliche Stellen;;;;
356_233;§ 32a BPolG;0;1;0;NULL;;Übermittlung personenbezogener Daten personenbezogener Daten an Mitgliedstaaten der Europäischen Union;;;;
356_234;§ 34 Abs. 1 BPolG;0;1;0;NULL;;'Abgleich personenbezogener Daten; Anhalterecht';;;;
356_235;§ 35 BPolG;0;1;0;NULL;;Berichtigung, Löschung, Sperrung personenbezogener Daten;;;;
356_237;§ 39 Abs. 1 Nr. 1 BPolG;0;1;0;NULL;;Schutzgewahrsam;;;;
356_238;§ 39 Abs. 1 Nr. 2 BPolG;0;1;0;NULL;;Gewahrsam zur Durchsetzung einer Platzverweisung;;;;
