# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
245;Modus Operandi;Modus Operandi;ZIR;V1.5;20210817

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;AMK;Cybercrime;Eigentum;Rauschgift;Sexualdelikte;Tötungs-_Gewaltdelikte;Falschgeld;Schleusung_Menschenhandel;Urkundenkriminalität;Wirtschaftskriminalität
245_161;Spoofing;0;1;0;NULL;;Verschleierung der tatsächlichen Identität, z. B.: wenn bei Call-ID Spoofing der Anrufer beim Angerufenen eine falsche Identität vortäuschen will, indem die Caller-ID nicht übermittelt bzw. verschleiert wird.;;;;J;J;J;J;J;J;J;J;J;J
245_162;CEO-Fraud;0;1;0;NULL;;;;;;;J;J;;;;;;;
245_163;Enkeltrick;0;1;0;NULL;;Unter Vorspiegelung vorhandener Verwandtschaftsverhältnisse wird der Geschädigte dazu veranlasst, einen bestimmten Geldbetrag an den Tatverdächtigen zu zahlen.;;;;;;J;;;;;;;
245_164;Schockanruf;0;1;0;NULL;;Unter Vorspiegelung eines Unfalls / einer Notsituation einer nahestehenden Person wird der Geschädigte dazu veranlasst, einen bestimmten Geldbetrag an den Tatverdächtigen zu zahlen.;;;;;;J;;;;;;;
245_165;falscher Amtsträger;0;1;0;NULL;;;;;;;;J;;;;;;;
245_166;Messerangriff;0;1;0;NULL;;Messerangriffe im Sinne der Erfassung von Straftaten sind solche Tathandlungen, bei denen der Angriff mit einem Messer unmittelbar gegen eine Person angedroht oder ausgeführt wird. Das bloße Mitführen eines Messers, reicht hingegen für eine Erfassung als Messerangriff nicht aus.;;;;;;;;;J;;;;
245_167;ab- / reißen;NULL;1;0;NULL;;z. B. von Sicherungstechnik und Schutzvorrichtungen;;;;;;J;;;;;;;
245_168;Abrechnungsbetrug;NULL;1;0;NULL;;Betrügerische Abrechnung von Leistungen durch Berufe, die nach einer Gebührenordnung abrechnen, wie Rechtsanwälte, Rechtsbeistände, Notare, Steuerberater (in der Regel sog. Freiberufler). (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;J
245_169;Abrechnungsbetrug im Gesundheitswesen;NULL;1;0;NULL;;Der Abrechnungsbetrug im Gesundheitswesen besteht in der betrügerischen Erlangung von Geldleistungen von Selbstzahlern, Krankenkassen, Krankenversicherungen und Beihilfestellen durch Angehörige medizinischer oder pharmazeutischer Berufe sowie Krankenhäusern und Sanatorien. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;J
245_170;an- / übermalen;NULL;1;0;NULL;;Mit Farbe an- / übermalen z. B. Überwachungskamera;;;;;;J;;;J;;;;
245_171;anbieten;NULL;1;0;NULL;;von etwas Nichtvorhandenem oder Gefälschtem;;;;;;J;;;;;;;
245_172;Anlagebetrug;NULL;1;0;NULL;;Der Tatverdächtige veranlasst die Opfer (i. d. R. über eine Anlagevermittlungsfirma) mit Versprechen hoher Renditen, hoher Kursgewinne oder anderer attraktiver Gewinnmöglichkeiten zur Hergabe von Anlagegeldern, verwendet diese aber ganz oder teilweise zweckwidrig oder täuscht anderweitig über wesentliche Merkmale der Geldanlage (z. B. Risiko, Aufschläge, Provisionsanteile usw.). (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;J
245_173;be- / versprühen;NULL;1;0;NULL;;Besprühen von Überwachungsgeräten / Spurenvernichtung;;;sprayen;;;J;;;J;;;;
245_174;Behältnisschleusung;NULL;1;0;NULL;;Wenn Personen in sogenannten Behältnissen aufgefunden werden – etwa auf Ladeflächen von Lastwagen oder Kleintransportern, manchmal auf engstem Raum hinter Holzverschlägen zusammengepfercht, spricht man von Behältnisschleusung. Eine Behältnisschleusung ist ein unwürdiger Transport von Personen in einem nicht für den Personenverkehr vorgesehenen Behältnis oder Transportmittel, einhergehend mit einer über das allgemeine Lebensrisiko hinausgehenden Gefahr für Leib und Leben der Geschleusten, beispielsweise durch Sauerstoffmangel, Dehydrierung, Unterkühlung oder erhöhter Unfallgefahr.;;;;;;;;;;;J;;
245_175;Beteiligungsbetrug;NULL;1;0;NULL;;Geschädigte werden gegen Zahlung einer Geschäftseinlage in ein nicht bestehendes, erst zu gründendes oder „faules“ Unternehmen unter arglistiger Vorspiegelung hoher Gewinnausschüttung bzw. einer sonstigen lukrativen Teilhaberschaft an diesem Unternehmen beteiligt.;;;;;;;;;;;;;J
245_176;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;NULL;1;0;NULL;;;;;;;;J;;;;;;;
245_177;Betrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel;NULL;1;0;NULL;;;;;;;;J;;;;;;;
245_178;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);NULL;1;0;NULL;;;;;;;;J;;;;;;;
245_179;blitzartiges / schnelles Vorgehen;NULL;1;0;NULL;;'z. B. Blitz-ED, Juwelierraub; sehr kurzer Tatzeitraum; innerhalb weniger Minuten';;;;;;J;;;;;;;
245_180;Börsenspekulationsbetrug;NULL;1;0;NULL;;Täter veranlasst die Opfer (i. d. R. über eine Kapitalanlage- oder Vermittlungsfirma) unter Vortäuschung hoher Kursgewinne und dem Verschweigen des Verlustrisikos zur Herausgabe von Geldern zwecks Anlage in regulären Wertpapier-, Devisen-, Waren- oder Terminbörsen.;;;;;;;;;;;;;J
245_181;Cold Calling;NULL;1;0;NULL;;Der Geschädigte erhält unaufgefordert telefonische Angebote zu Anlagemöglichkeiten in Finanzwerte. Durch Täuschen sowohl über die Beschaffenheit des Wertes, der Renditen als auch zur Handelbarkeit wird der Geschädigte zum Erwerb animiert.;;;;;;;;;;;;;J
245_182;demontieren;NULL;1;0;NULL;;Zerlegen / Abbauen von etwas z. B. zum Abtransport;;;;;;J;;;;;;;
245_183;Erwerb über Darknet-Handelsplattform;NULL;1;0;NULL;;z. B.: Empire Market;;;;;;;;;;J;;;
245_184;Erwerb über Internet-Handelsplattform;NULL;1;0;NULL;;z. B.: Ebay-Kleinanzeigen;;;;;;;;;;J;;;
245_185;Erwerb über Messengerdienst / soziales Netzwerk;NULL;1;0;NULL;;z. B.: Facebook, Telegram;;;;;;;;;;J;;;
245_188;Fake Shop;NULL;1;0;NULL;;Geschädigte werden im Internet mit äußerst günstigen Angeboten auf Seiten gelockt, die denen seriöser Online-Shops täuschend ähnlich sind, da sie Bilder seriöser Shops kopieren und benutzen. Die Lieferung der bestellten Ware bleibt aus oder es wird minderwertige Ware geliefert.;;;;;;J;;;;;;;J
245_189;flexen;NULL;1;0;NULL;;Trennen oder Aufschneiden mittels Flex / Winkelschleifer;;;;;;J;;;;;;;
245_19;Betäuben;0;1;0;NULL;;;;;;;;;;;J;;;;
245_190;Inkassoschreiben;NULL;1;0;NULL;;Der Geschädigte wird durch zumeist elektronisch versandte Inkassoschreiben mit Zahlungsaufforderungen über angeblich offene Rechnungen getäuscht. Inhalt der Zahlungsforderungen sind am Telefon untergeschobene Verträge, Abofallen im Internet oder Gewinnspielwerbung.;;;;;;J;;;;;;;J
245_191;Internetauktion;NULL;1;0;NULL;;Dem Geschädigten werden bei einer Auktion (Versteigerung), welche im Internet stattfindet, Produkte oder Dienstleistungen angeboten. Der Täter täuscht dabei über seine Absicht, den zum Ende der Auktion geschlossenen Kaufvertrag nach § 433 BGB erfüllen zu wollen.;;;;;;J;;;;;;;J
245_192;Jackpotting;NULL;1;0;NULL;;;;;;;J;;;;;;;;
245_193;Jackpotting mit Blackbox;NULL;1;0;NULL;;;;;;;J;;;;;;;;
245_194;Jackpotting mit Malware;NULL;1;0;NULL;;;;;;;J;;;;;;;;
245_195;Krediterlangungsbetrug;NULL;1;0;NULL;;Der Tatverdächtige erschleicht durch unrichtige Angaben über seine wirtschaftlichen Verhältnisse Kreditleistungen in Form von Darlehen oder Kreditkarten. Es muss sich also um Kredite im kaufmännischen Sinne handeln oder zumindest um den vertragsmäßigen Empfang von Geld, das nach einer Frist als Geld zurückgezahlt werden soll. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;J
245_196;Kreditvermittlungsbetrug;NULL;1;0;NULL;;Täter bietet in betrügerischer Absicht die Vermittlung von Krediten an und verlangt hierfür rechtswidrig Gebühren, Provisionen oder sonstige Vorauskosten, ohne willens oder in der Lage zu sein, die versprochenen Kredite tatsächlich zu vermitteln.;;;;;;;;;;;;;J
245_197;Kurier;NULL;1;0;NULL;;Falschgeld-Transporteur;;;;;;;;;;J;;;
245_198;Leistungskreditbetrug;NULL;1;0;NULL;;Der Verkäufer erbringt im Voraus eine Leistung und akzeptiert eine spätere Zahlung bzw. Restzahlung, die der in betrügerischer Absicht handelnde Tatverdächtige von vornherein nicht leisten wollte oder konnte. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;J
245_199;Look-alike;NULL;1;0;NULL;;Unter dem Modus Operandi „Look-alike“ / „Impostor“ versteht man die betrügerische Absicht der Nutzung eines vornehmlich authentischen Identitätsnachweises / -dokumentes durch eine Person, die eine starke physische Ähnlichkeit zum Lichtbild des rechtmäßigen Inhabers aufweist.;;;Impostor;;;;;;;;J;J;
245_2;abartige Begehungsweise;0;1;0;NULL;;;;;;;;;;;J;;;;
245_20;Brief / Annonce / Internet;0;1;0;NULL;;;;;;;;;;;J;;;;
245_200;Loverboy;NULL;1;0;NULL;;Bei der Loverboy-Methode werden weibliche Minderjährige und junge Frauen unter Vorspiegelung einer Liebesbeziehung in ein emotionales Abhängigkeitsverhältnis gebracht, um sie in der Folge an die Prostitution heranzuführen und auszubeuten.;;;;;;;;J;;;;;
245_201;NFC-Manipulation;NULL;1;0;NULL;;Manipulation der Near Field Communication (NFC). NFC ist ein Übertragungsstandard, der u. a. an Kassenterminals des Handels die kontaktlose Bezahlung mit oder ohne PIN ermöglicht.;;;;;;J;;;;;;;
245_202;NFC-Manipulation mit PIN;NULL;1;0;NULL;;Manipulation der Near Field Communication (NFC) mit PIN.;;;;;;J;;;;;;;
245_203;NFC-Manipulation ohne PIN;NULL;1;0;NULL;;Manipulation der Near Field Communication (NFC) ohne PIN.;;;;;;J;;;;;;;
245_204;Offerte;NULL;1;0;NULL;;Der Geschädigte wird durch ein Angebotsschreiben, das wie eine amtliche Rechnung aufgemacht ist, über eine nicht bestehende Forderung getäuscht.;;;;;;J;;;;;;;J
245_205;Provisionsbetrug;NULL;1;0;NULL;;Betrügerisches Erlangen von Provisionen für gefälschte Aufträge, für arglistig erlangte Unterschriften auf zu stornierende Aufträge oder für die arglistige Unterbringung von Aufträgen bei zahlungsunfähigen Kunden.;;;;;;J;;;;;;;J
245_206;Romance-Scam;NULL;1;0;NULL;;Gefälschte Profile in Singlebörsen werden dazu genutzt, dem Opfer Verliebtheit vorzugaukeln, mit dem Ziel, eine finanzielle Zuwendung zu erschleichen.;;;;;;J;;;;;;;J
245_207;Sextortion;NULL;1;0;NULL;;Der Begriff „Sextortion“ setzt sich aus den englischen Wörtern Sex und Extortion (Erpressung) zusammen. Bei Sextortion geht es um sexuelle  Erpressung. Was wie ein harmloser Flirt beginnt, endet mit hohen Geldforderungen. Die Betrüger bringen ihre Opfer dazu, sich vor der Webcam auszuziehen und sexuelle Handlungen an sich selbst vorzunehmen. Anschließend erpressen sie ihre gutgläubigen Chatpartner.;;;;;J;;;;;;;;
245_208;Stoßbetrug;NULL;1;0;NULL;;Geschädigte werden im Vertrauen auf Zahlungswillig- und Zahlungsfähigkeit zur Lieferung von Waren auf Ziel - meist auf Wechsel - veranlasst. Die gelieferten Waren werden zu Schleuderpreisen sofort abgestoßen, so dass bei Eintritt der Zahlungsverpflichtung keine Waren mehr vorhanden sind bzw. die Firma sich bis dahin aufgelöst hat und die Initiatoren sich abgesetzt haben.;;;;;;J;;;;;;;J
245_209;Umschuldungsbetrug;NULL;1;0;NULL;;Ablösung aller bestehenden Verbindlichkeiten in der Weise, dass nur noch eine Verbindlichkeit gegenüber einem Unternehmen besteht, welches einen überhöhten Zinssatz zugrunde legt, die Zinsen immer aus der ursprünglichen Gesamtkreditsumme berechnet und / oder gestaffelt nach Laufzeit lediglich eine prozentuale Auszahlung des Kredites vornimmt.;;;;;;;;;;;;;J
245_21;Digitaler Identitätsdiebstahl / Accountübernahme;0;1;0;NULL;;Einerseits wird darunter die widerrechtliche Erlangung des Zugangs zu einer digitalen Identität oder das Anlegen einer Identität durch unbefugte Nutzung fremder Daten verstanden und umfasst auch entsprechende Vorbereitungshandlungen. Andererseits wird darunter die unbefugte / missbräuchliche Verwendung dieser Identitäten erfasst. Eine digitale Identität kann beispielsweise in einem  Nutzerkonto (z. B. Zugangsname und Passwort) bei einem Diensteanbieter bestehen, umfasst aber auch personenbezogene Daten, Konto- oder Zahlungskartendaten (Kartennummer, Gültigkeitsdatum, CVV, Name des Inhabers, etc.). Für die oben genannten Begehungsweisen kommen oftmals auch die Begriffe "ID-Theft", "Faking", "Accounttakeover", aber auch als Spezialfall "Carding" zur Anwendung. Die Vorbereitungshandlung kann beispielsweise durch "Phishing" oder "Malware" erfolgen.;;;;;J;;;;;;;;
245_210;Untreue bei Kapitalanlagegeschäften;NULL;1;0;NULL;;Der Täter verwendet ihm für Anlagegeschäfte (z. B. Immobilienkauf, Vermögensverwaltung, Anlage in Wertpapieren und Beteiligungen) treuhänderisch / übergebene Gelder zweckwidrig und fügt dem Anleger dadurch einen Vermögensnachteil zu.;;;;;;J;;;;;;;J
245_211;ver- / ausschütten;NULL;1;0;NULL;;z. B. von Flüssigkeiten (Chlor o. ä.) zur Beseitigung von Spuren;;;;;;J;;;J;;;;
245_212;Verkauf über Darknet-Handelsplattform;NULL;1;0;NULL;;z. B.: Empire Market;;;;;;;;;;J;;;
245_213;Verkauf über Internet-Handelsplattform;NULL;1;0;NULL;;z. B.: Ebay-Kleinanzeigen;;;;;;;;;;J;;;
245_214;Verkauf über Messengerdienst / soziales Netzwerk;NULL;1;0;NULL;;z. B.: Facebook, Telegram;;;;;;;;;;J;;;
245_215;Voodoo;NULL;1;0;NULL;;Nigerianische Opfer des Menschenhandels werden oft in ländlichen Dörfern Westafrikas angeworben und ihnen wird in Europa eine gut bezahlte Arbeit versprochen. Voodoo / Juju Rituale werden in Vorbereitung auf die Reise und Abhängigkeit auf die Menschhändler eingesetzt, um die ausbeuterische Beziehung emotionell zu verfestigen.  Die Opfer werden dazu gebracht, den Menschenhändlern Treue, Geheimhaltung und Diskretion zu schwören, wodurch sie psychologisch unter Druck gesetzt werden und oftmals keine Aussagen gegenüber der Polizei machen.;;;Juju;;;;;J;;;;;
245_216;Warenkreditbetrug;NULL;1;0;NULL;;Beim Warenkreditbetrug steht die betrügerische Erlangung von Waren ohne Gegenleistung oder durch Anzahlung im Vordergrund. Der Verkäufer liefert im Voraus eine Ware und akzeptiert eine spätere Zahlung bzw. Restzahlung, die der in betrügerischer Absicht handelnde Tatverdächtige von vornherein nicht leisten wollte oder konnte. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;J
245_217;Wertpapierbetrug;NULL;1;0;NULL;;Beim Wertpapierbetrug werden entweder ge- / verfälschte Wertpapiere verwendet oder echten wertlosen Papieren wird ein bestimmter, nicht zutreffender Wert zugeordnet.;;;;;;;;;;;;;J
245_218;Zwischenhändler, Mittelsmann;NULL;1;0;NULL;;Ankauf und Verkauf von Falschgeld zwecks Gewinnerzielung;;;;;;;;;;J;;;
245_219;Betrug zum Nachteil von Versicherungen;NULL;1;0;NULL;;Ungerechtfertigte Inanspruchnahme von Versicherungsleistungen. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;
245_22;Einbrechen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_220;Einmietbetrug;NULL;1;0;NULL;;Unter diesem Begriff ist sowohl der Betrug z. N. von Beherbergungsstätten als auch z. N. von Privatpersonen zu verstehen, die einen in der Regel kurz- bis mittelfristigen Beherbergungsvertrag mit dem Einmietbetrüger eingegangen sind. Der Einmietbetrüger gibt vor, er sei willens und in der Lage, für die Überlassung von Räumlichkeiten einschließlich entstehender Nebenkosten den vereinbarten Mietzins zu entrichten. Der kurz- bis mittelfristig eingegangene Beherbergungsvertrag ist nicht gleichzusetzen mit einem auf Dauer angelegten Wohnmietverhältnis, das insbesondere dadurch gekennzeichnet ist, dass die im Eigentum des Mieters stehenden Wohngegenstände (wie Möbel, Teppiche, Bilder, Wert- und Küchengegenstände) in die Wohnung dauerhaft eingebracht werden. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;
245_221;Sozialleistungsbetrug;NULL;1;0;NULL;;Alle durch Täuschung der vergebenden öffentlichen Stellen betrügerisch erlangten Geld- oder Sachleistungen von Sozialleistungsträgern (z. B. Wohngeld, Kindergeld). (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;
245_222;Tankbetrug;NULL;1;0;NULL;;Der Tankstellenkunde tankt und fährt entsprechend vorgefasster Absicht weg, ohne die Tankrechnung zu begleichen. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;
245_223;Überweisungsbetrug;NULL;1;0;NULL;;Betrug mittels ge- oder verfälschter Überweisungsträger oder Zahlungsaufträge, sowie die missbräuchliche Verwendung von Daten im online-Banking, die geeignet sind, bei Banken Überweisungen zu veranlassen. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;
245_224;Warenbetrug;NULL;1;0;NULL;;Beim Warenbetrug verspricht der Tatverdächtige Ware zu liefern, was er jedoch nicht oder nur in minderwertiger Qualität tut, oder er behauptet, Ware geliefert zu haben, obwohl das nicht der Fall war. Die Ware stellt gewissermaßen das Mittel zum Betrug dar, während das Ziel des Betrügers die Erlangung der Bezahlung ist. (Quelle: PKS-Richtlinie vom 01.01.2020, Definitionskatalog mit Stand 10.10.2019);;;;;;J;;;;;;;
245_23;Datendiebstahl bei nicht natürlichen Personen / Eindringen in Datennetze / Datenveränderung;0;1;0;NULL;;Es findet ein unbefugter Zugang zu einem Datennetz statt. In der Folge ist ein Missbrauch des Datennetzes oder daran angeschlossener IT-Systeme (z. B. Computer) möglich. Ebenso kommt ein missbräuchlicher Zugriff (z. B. lesen, kopieren, löschen, verändern) auf Daten in Betracht. Die Tat kann nicht nur durch das Eindringen in ein Datennetz, sondern auch durch einen sogenannten Innentäter begangen werden. Darunter fallen auch das "Hacking" von Servern, die für die Bereitstellung von Webseiten, Online-Shops oder anderen Diensten genutzt werden. Auch "Defacements" oder die nicht autorisierte Veränderung von Softwarekonfigurationen (z. B. Installation eines Proxys) sind hierunter ebenso wie auch die Industriespionage erfasst. Nicht natürliche Personen sind juristische Personen des Privatrechts (z. B. GmbH, AG, e. V.), juristische Personen des öffentlichen Rechts (z. B. Körperschaften, Anstalten) aber auch Personengesellschaften (GbR, OHG, KG) sowie Einzelkaufleute im geschäftlichen Verkehr.;;;;;J;;;;;;;;
245_25;Entführen / als Geisel nehmen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_26;Erfrierung / Unterkühlung zufügen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_27;Erpressen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_28;Freisetzen von Gasen, biologischen Stoffen oder Strahlung;0;1;0;NULL;;;;;;;;;;;J;;;;
245_29;Gewalt mit Schusswaffe;0;1;0;NULL;;;;;;;;;;;J;;;;
245_3;Abofalle;0;1;0;NULL;;Im Rahmen einer zusammenhangsfremden Handlung (z. B. Teilnahme an einem Gewinnspiel oder Download einer Datei)  wird dem Geschädigten ein Abonnement untergeschoben, ohne dass diesem der Vertragsabschluss bewusst sein konnte.;;;Betrug bei Vertragsabschlüssen;;;J;;;;;;;
245_30;Gewinnversprechen;0;1;0;NULL;;Dem Geschädigten wird ein Gewinn in Aussicht gestellt. Um diesen zu erhalten, wird er aufgefordert, im Vorfeld eine Zahlung zu leisten. Der Gewinn wird nie ausgezahlt.;;;Gewinnbenachrichtigung;;;J;;;;;;;J
